COUNTRY,Country,EMPSTAT,Employment status,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1733,,
AUS,Australia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1740,,
AUS,Australia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1726,,
AUS,Australia,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1723,,
AUS,Australia,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1712,,
AUT,Austria,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1495,,
AUT,Austria,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1507,,
AUT,Austria,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1498,,
AUT,Austria,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1502,,
AUT,Austria,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1501,,
BEL,Belgium,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1575,,
BEL,Belgium,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1574,,
BEL,Belgium,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1578,,
BEL,Belgium,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1583,,
CAN,Canada,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1712,,
CAN,Canada,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1695,,
CAN,Canada,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1708,,
CAN,Canada,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1670,,
CZE,Czech Republic,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1756,,
CZE,Czech Republic,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1779,,
CZE,Czech Republic,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1784,,
CZE,Czech Republic,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1792,,
CZE,Czech Republic,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1788,,
DNK,Denmark,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1407,,
DNK,Denmark,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1412,,
DNK,Denmark,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1405,,
DNK,Denmark,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1382,,
DNK,Denmark,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1380,,
FIN,Finland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1555,,
FIN,Finland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1555,,
FIN,Finland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1549,,
FIN,Finland,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1546,,
FIN,Finland,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1540,,
FRA,France,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1519,,
FRA,France,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1522,,
FRA,France,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1505,,
FRA,France,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1495,,
FRA,France,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1505,,
DEU,Germany,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1400.8,,
DEU,Germany,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1394.8,,
DEU,Germany,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1391.3,,
DEU,Germany,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1389.9,,
DEU,Germany,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1386.1,,
GRC,Greece,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1944,,
GRC,Greece,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1943,,
GRC,Greece,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1957,,
GRC,Greece,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1956,,
GRC,Greece,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1949,,
HUN,Hungary,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1745.9,,
HUN,Hungary,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1760.2,,
HUN,Hungary,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1747.4,,
HUN,Hungary,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1728.9,,
HUN,Hungary,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1725.2,,
ISL,Iceland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1486,,
ISL,Iceland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1474,,
ISL,Iceland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1464,,
ISL,Iceland,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1449,,
ISL,Iceland,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1454,,
IRL,Ireland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1771,,
IRL,Ireland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1763,,
IRL,Ireland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1775,,
IRL,Ireland,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1785,,
IRL,Ireland,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1772,,
ITA,Italy,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1717.5,,
ITA,Italy,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1721.7,,
ITA,Italy,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1719.2,,
ITA,Italy,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1722.3,,
ITA,Italy,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1717.8,,
JPN,Japan,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1719,,
JPN,Japan,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1714,,
JPN,Japan,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1709,,
JPN,Japan,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1680,,
JPN,Japan,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1644,,
KOR,Korea,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,2083,,
KOR,Korea,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,2068,,
KOR,Korea,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,2018,,
KOR,Korea,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1993,,
KOR,Korea,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1967,,
LUX,Luxembourg,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1514,,
LUX,Luxembourg,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1513,,
LUX,Luxembourg,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1507,,
LUX,Luxembourg,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1506,,
LUX,Luxembourg,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1506,,
MEX,Mexico,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,2140,,
MEX,Mexico,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,2146,,
MEX,Mexico,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,2148,,
MEX,Mexico,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,2149,,
MEX,Mexico,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,2137,,
NLD,Netherlands,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1426,,
NLD,Netherlands,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1437,,
NLD,Netherlands,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1435,,
NLD,Netherlands,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1431,,
NLD,Netherlands,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1434,,
NZL,New Zealand,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1751,,
NZL,New Zealand,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1751,,
NZL,New Zealand,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1752,,
NZL,New Zealand,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1754,,
NZL,New Zealand,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1779,,
NOR,Norway,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1392,,
NOR,Norway,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1394,,
NOR,Norway,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1381,,
NOR,Norway,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1383,,
NOR,Norway,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1384,,
POL,Poland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1829,,
POL,Poland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1831,,
POL,Poland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1812,,
POL,Poland,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1787,,
POL,Poland,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1806,,
PRT,Portugal,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1732,,
PRT,Portugal,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1737,,
PRT,Portugal,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1727,,
PRT,Portugal,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1722,,
PRT,Portugal,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1719,,
SVK,Slovak Republic,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1754,,
SVK,Slovak Republic,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1740,,
SVK,Slovak Republic,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1714,,
SVK,Slovak Republic,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1704,,
SVK,Slovak Republic,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1695,,
ESP,Spain,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1694.2,,
ESP,Spain,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1701.5,,
ESP,Spain,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1689.5,,
ESP,Spain,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1695.5,,
ESP,Spain,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1686,,
SWE,Sweden,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1466,,
SWE,Sweden,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1478,,
SWE,Sweden,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1467,,
SWE,Sweden,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1466,,
SWE,Sweden,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1452,,
CHE,Switzerland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1589.5,,
CHE,Switzerland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1590.2,,
CHE,Switzerland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1569.5,,
CHE,Switzerland,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1561.2,,
CHE,Switzerland,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1556.9,,
GBR,United Kingdom,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1527,,
GBR,United Kingdom,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1541,,
GBR,United Kingdom,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1540,,
GBR,United Kingdom,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1535,,
GBR,United Kingdom,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1538,,
USA,United States,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1783,,
USA,United States,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1778,,
USA,United States,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1778,,
USA,United States,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1783,,
USA,United States,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1779,,
OECD,OECD countries,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1745,,
OECD,OECD countries,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1745,,
OECD,OECD countries,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1739,,
OECD,OECD countries,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1735,,
OECD,OECD countries,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1726,,
ISR,Israel,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1895.4,,
ISR,Israel,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1922.1,,
ISR,Israel,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1918,,
ISR,Israel,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1910.1,,
ISR,Israel,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1898.1,,
CHL,Chile,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1988,,
CHL,Chile,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1974,,
CHL,Chile,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1954,,
CHL,Chile,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1940.6,,
CHL,Chile,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1914.4,,
SVN,Slovenia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1687.3,,
SVN,Slovenia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1652.4,,
SVN,Slovenia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1621.5,,
SVN,Slovenia,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1598.7,,
SVN,Slovenia,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1592.9,,
EST,Estonia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1763,,
EST,Estonia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1767,,
EST,Estonia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1768,,
EST,Estonia,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1724,,
EST,Estonia,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1711,,
RUS,Russian Federation,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1978,,
RUS,Russian Federation,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1974,,
RUS,Russian Federation,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1979,,
RUS,Russian Federation,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1970,,
RUS,Russian Federation,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1965,,
LTU,Lithuania,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1643,,
LTU,Lithuania,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1664,,
LTU,Lithuania,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1627,,
LTU,Lithuania,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1634,,
LTU,Lithuania,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1635,,
LVA,Latvia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1694,,
LVA,Latvia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1694,,
LVA,Latvia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1680,,
LVA,Latvia,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,1692,,
LVA,Latvia,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,1661,,
CRI,Costa Rica,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,2148.2,,
CRI,Costa Rica,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,2204.7,,
CRI,Costa Rica,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,2178.9,,
CRI,Costa Rica,TE,Total employment,A,Annual,2018,2018,HOUR,Hours,0,Units,,,2121,,
CRI,Costa Rica,TE,Total employment,A,Annual,2019,2019,HOUR,Hours,0,Units,,,2059.6,,
